"column_id","column_name","data_type","max_length","precision","scale","is_nullable"
"1","COD_EMPRESA","tinyint","1","3","0","True"
"2","ANO_VENDA","smallint","2","5","0","False"
"3","MES_VENDA","tinyint","1","3","0","False"
"4","DATA_VENDA","date","3","10","0","False"
"5","HORA_VENDA","time","5","16","7","True"
"6","CPF_CNPJ_CLIENTE","varchar","14","0","0","True"
"7","RAZAO_SOCIAL","varchar","60","0","0","False"
"8","ENDERECO_CLIENTE","varchar","140","0","0","True"
"9","BAIRRO_CLIENTE","varchar","60","0","0","True"
"10","CIDADE_CLIENTE","varchar","60","0","0","True"
"11","CEP_CLIENTE","char","8","0","0","True"
"12","UF_CLIENTE","char","2","0","0","True"
"13","PAIS_CLIENTE","char","3","0","0","True"
"14","NUMERO_CASA_CLIENTE","varchar","15","0","0","True"
"15","TELEFONE_COMERCIAL_CLIENTE","varchar","19","0","0","False"
"16","SEGMENTO_CLIENTE","varchar","30","0","0","True"
"17","LATITUDE","numeric","9","15","12","True"
"18","LOGINTUDE","numeric","9","15","12","True"
"19","SKU_PRODUTO","int","4","10","0","False"
"20","EAN_PRODUTO","varchar","14","0","0","True"
"21","UNID_VENDA","char","2","0","0","True"
"22","DESCRICAO_PRODUTO","varchar","120","0","0","False"
"23","CATEGORIA_PRODUTO","varchar","40","0","0","True"
"24","FAMILIA_PRODUTO","varchar","40","0","0","True"
"25","FORNECEDOR","varchar","60","0","0","False"
"26","PESO_LIQUIDO_PRODUTO","numeric","5","7","3","True"
"27","QTDE_VENDIDA","numeric","9","13","4","True"
"28","CUSTO_UNITARIO","numeric","9","15","4","True"
"29","VL_UNIT_VENDA","numeric","9","15","4","True"
"30","VL_UNIT_TABELA","numeric","9","15","4","True"
"31","VENDEDOR","varchar","40","0","0","True"
"32","SUPERVISOR","varchar","40","0","0","True"
"33","GERENTE","varchar","40","0","0","True"
"34","TIPO_PEDIDO","varchar","30","0","0","True"
"35","SITUACAO","varchar","20","0","0","True"
"36","NF","int","4","10","0","True"
